instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,day_type
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0.0,3.0,3.0,Weekday
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0.0,30.0,30.0,Weekday
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1.0,63.0,64.0,Weekday
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1.0,153.0,154.0,Weekday
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7.0,81.0,88.0,Weekday
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11.0,33.0,44.0,Weekday
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10.0,41.0,51.0,Weekday
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13.0,48.0,61.0,Weekday
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8.0,53.0,61.0,Weekday
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11.0,66.0,77.0,Weekday
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14.0,58.0,72.0,Weekday
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9.0,67.0,76.0,Weekday
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11.0,146.0,157.0,Weekday
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9.0,148.0,157.0,Weekday
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8.0,102.0,110.0,Weekday
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3.0,49.0,52.0,Weekday
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3.0,49.0,52.0,Weekday
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0.0,20.0,20.0,Weekday
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1.0,11.0,12.0,Weekday
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0.0,5.0,5.0,Weekday
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0.0,2.0,2.0,Weekday
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0.0,1.0,1.0,Weekday
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0.0,2.0,2.0,Weekday
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0.0,4.0,4.0,Weekday
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0.0,36.0,36.0,Weekday
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2.0,92.0,94.0,Weekday
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2.0,177.0,179.0,Weekday
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2.0,98.0,100.0,Weekday
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5.0,37.0,42.0,Weekday
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7.0,50.0,57.0,Weekday
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12.0,66.0,78.0,Weekday
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18.0,79.0,97.0,Weekday
83,2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9.0,54.0,63.0,Weekday
84,2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17.0,48.0,65.0,Weekday
85,2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15.0,68.0,83.0,Weekday
86,2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10.0,202.0,212.0,Weekday
87,2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3.0,179.0,182.0,Weekday
88,2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2.0,110.0,112.0,Weekday
89,2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1.0,53.0,54.0,Weekday
90,2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0.0,48.0,48.0,Weekday
91,2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1.0,34.0,35.0,Weekday
92,2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2.0,9.0,11.0,Weekday
93,2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0.0,6.0,6.0,Weekday
94,2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0.0,6.0,6.0,Weekday
95,2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0.0,2.0,2.0,Weekday
96,2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0.0,2.0,2.0,Weekday
97,2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0.0,3.0,3.0,Weekday
98,2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0.0,33.0,33.0,Weekday
99,2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1.0,87.0,88.0,Weekday
100,2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3.0,192.0,195.0,Weekday
101,2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6.0,109.0,115.0,Weekday
102,2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4.0,53.0,57.0,Weekday
103,2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12.0,34.0,46.0,Weekday
104,2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5.0,74.0,79.0,Weekday
105,2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6.0,65.0,71.0,Weekday
106,2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10.0,52.0,62.0,Weekday
107,2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7.0,55.0,62.0,Weekday
108,2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4.0,85.0,89.0,Weekday
109,2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4.0,186.0,190.0,Weekday
110,2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3.0,166.0,169.0,Weekday
111,2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5.0,127.0,132.0,Weekday
112,2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7.0,82.0,89.0,Weekday
113,2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3.0,40.0,43.0,Weekday
114,2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1.0,41.0,42.0,Weekday
115,2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1.0,18.0,19.0,Weekday
116,2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0.0,11.0,11.0,Weekday
117,2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0.0,4.0,4.0,Weekday
118,2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0.0,2.0,2.0,Weekday
119,2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0.0,1.0,1.0,Weekday
120,2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0.0,4.0,4.0,Weekday
121,2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0.0,36.0,36.0,Weekday
122,2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0.0,95.0,95.0,Weekday
123,2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3.0,216.0,219.0,Weekday
124,2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6.0,116.0,122.0,Weekday
125,2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3.0,42.0,45.0,Weekday
126,2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2.0,57.0,59.0,Weekday
127,2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6.0,78.0,84.0,Weekday
128,2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12.0,55.0,67.0,Weekday
129,2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11.0,59.0,70.0,Weekday
130,2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8.0,54.0,62.0,Weekday
131,2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12.0,74.0,86.0,Weekday
132,2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9.0,163.0,172.0,Weekday
133,2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5.0,158.0,163.0,Weekday
134,2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3.0,109.0,112.0,Weekday
135,2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3.0,66.0,69.0,Weekday
136,2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0.0,48.0,48.0,Weekday
137,2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1.0,51.0,52.0,Weekday
138,2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4.0,19.0,23.0,Weekday
139,2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4.0,13.0,17.0,Weekend
140,2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2.0,5.0,7.0,Weekend
141,2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0.0,1.0,1.0,Weekend
142,2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0.0,1.0,1.0,Weekend
143,2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0.0,5.0,5.0,Weekend
144,2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8.0,26.0,34.0,Weekend
145,2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8.0,76.0,84.0,Weekend
146,2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20.0,190.0,210.0,Weekend
147,2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9.0,125.0,134.0,Weekend
148,2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16.0,47.0,63.0,Weekend
149,2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19.0,48.0,67.0,Weekend
150,2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9.0,50.0,59.0,Weekend
151,2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9.0,64.0,73.0,Weekend
152,2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7.0,43.0,50.0,Weekend
153,2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9.0,63.0,72.0,Weekend
154,2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5.0,82.0,87.0,Weekend
155,2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9.0,178.0,187.0,Weekend
156,2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7.0,116.0,123.0,Weekend
157,2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3.0,92.0,95.0,Weekend
158,2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1.0,50.0,51.0,Weekend
159,2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0.0,39.0,39.0,Weekend
160,2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2.0,34.0,36.0,Weekend
161,2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1.0,14.0,15.0,Weekend
162,2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1.0,24.0,25.0,Weekend
163,2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1.0,15.0,16.0,Weekend
164,2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3.0,13.0,16.0,Weekend
165,2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0.0,7.0,7.0,Weekend
166,2011-01-08,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0.0,1.0,1.0,Weekend
167,2011-01-08,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0.0,5.0,5.0,Weekend
168,2011-01-08,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0.0,2.0,2.0,Weekend
169,2011-01-08,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1.0,8.0,9.0,Weekend
170,2011-01-08,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0.0,15.0,15.0,Weekend
171,2011-01-08,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0.0,20.0,20.0,Weekend
172,2011-01-08,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5.0,56.0,61.0,Weekend
173,2011-01-08,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2.0,60.0,62.0,Weekend
174,2011-01-08,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8.0,90.0,98.0,Weekend
175,2011-01-08,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7.0,95.0,102.0,Weekend
176,2011-01-08,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12.0,83.0,95.0,Weekend
177,2011-01-08,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5.0,69.0,74.0,Weekend
178,2011-01-08,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8.0,68.0,76.0,Weekend
179,2011-01-08,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5.0,64.0,69.0,Weekend
180,2011-01-08,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3.0,52.0,55.0,Weekend
181,2011-01-08,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4.0,26.0,30.0,Weekend
182,2011-01-08,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0.0,28.0,28.0,Weekend
183,2011-01-08,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2.0,35.0,37.0,Weekend
184,2011-01-08,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1.0,33.0,34.0,Weekend
185,2011-01-08,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0.0,22.0,22.0,Weekend
186,2011-01-09,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1.0,24.0,25.0,Weekday
187,2011-01-09,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0.0,12.0,12.0,Weekday
188,2011-01-09,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0.0,11.0,11.0,Weekday
189,2011-01-09,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0.0,4.0,4.0,Weekday
190,2011-01-09,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0.0,1.0,1.0,Weekday
191,2011-01-09,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0.0,1.0,1.0,Weekday
192,2011-01-09,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0.0,1.0,1.0,Weekday
193,2011-01-09,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1.0,5.0,6.0,Weekday
194,2011-01-09,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0.0,10.0,10.0,Weekday
195,2011-01-09,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0.0,19.0,19.0,Weekday
196,2011-01-09,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0.0,49.0,49.0,Weekday
197,2011-01-09,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2.0,47.0,49.0,Weekday
198,2011-01-09,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4.0,79.0,83.0,Weekday
199,2011-01-09,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6.0,69.0,75.0,Weekday
200,2011-01-09,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8.0,64.0,72.0,Weekday
201,2011-01-09,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5.0,77.0,82.0,Weekday
202,2011-01-09,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13.0,79.0,92.0,Weekday
203,2011-01-09,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3.0,59.0,62.0,Weekday
204,2011-01-09,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4.0,44.0,48.0,Weekday
205,2011-01-09,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1.0,40.0,41.0,Weekday
206,2011-01-09,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0.0,38.0,38.0,Weekday
207,2011-01-09,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1.0,19.0,20.0,Weekday
208,2011-01-09,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5.0,10.0,15.0,Weekday
209,2011-01-09,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0.0,6.0,6.0,Weekday
210,2011-01-10,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2.0,3.0,5.0,Weekday
211,2011-01-10,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1.0,0.0,1.0,Weekday
212,2011-01-10,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0.0,3.0,3.0,Weekday
213,2011-01-10,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0.0,1.0,1.0,Weekday
214,2011-01-10,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1.0,2.0,3.0,Weekday
215,2011-01-10,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0.0,3.0,3.0,Weekday
216,2011-01-10,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0.0,31.0,31.0,Weekday
217,2011-01-10,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2.0,75.0,77.0,Weekday
218,2011-01-10,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4.0,184.0,188.0,Weekday
219,2011-01-10,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2.0,92.0,94.0,Weekday
220,2011-01-10,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0.0,31.0,31.0,Weekday
221,2011-01-10,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2.0,28.0,30.0,Weekday
222,2011-01-10,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5.0,47.0,52.0,Weekday
223,2011-01-10,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4.0,50.0,54.0,Weekday
224,2011-01-10,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0.0,47.0,47.0,Weekday
225,2011-01-10,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2.0,43.0,45.0,Weekday
226,2011-01-10,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4.0,70.0,74.0,Weekday
227,2011-01-10,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4.0,174.0,178.0,Weekday
228,2011-01-10,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1.0,154.0,155.0,Weekday
229,2011-01-10,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3.0,92.0,95.0,Weekday
230,2011-01-10,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1.0,73.0,74.0,Weekday
231,2011-01-10,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1.0,37.0,38.0,Weekday
232,2011-01-10,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2.0,22.0,24.0,Weekday
