instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,days_since_start,avg_bike_rental_per_day,season_label,rolling_avg,casual_avg,registered_avg
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137.0,1714,1851,59,4504.35,Winter,1856.4666666666667,308.6333333333333,1547.8333333333333
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231.0,1903,2134,60,4504.35,Winter,1865.7666666666667,312.4,1553.3666666666666
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123.0,1562,1685,61,4504.35,Winter,1896.7333333333333,321.8666666666667,1574.8666666666666
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214.0,1730,1944,62,4504.35,Winter,1934.2,344.06666666666666,1590.1333333333334
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640.0,1437,2077,63,4504.35,Winter,1955.6,382.9,1572.7
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114.0,491,605,64,4504.35,Winter,1940.4,398.5,1541.9
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244.0,1628,1872,65,4504.35,Winter,1955.1333333333334,394.1333333333333,1561.0
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316.0,1817,2133,66,4504.35,Winter,1984.8333333333333,388.1666666666667,1596.6666666666667
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191.0,1700,1891,67,4504.35,Winter,2018.6333333333334,388.43333333333334,1630.2
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.6270834999999999,0.261877,46.0,577,623,68,4504.35,Winter,2032.4666666666667,391.5,1640.9666666666667
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247.0,1730,1977,69,4504.35,Winter,2042.2333333333333,396.8666666666667,1645.3666666666666
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724.0,1408,2132,70,4504.35,Winter,2065.2,426.23333333333335,1638.9666666666667
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982.0,1435,2417,71,4504.35,Winter,2072.9333333333334,437.96666666666664,1634.9666666666667
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359.0,1687,2046,72,4504.35,Winter,2074.9,431.23333333333335,1643.6666666666667
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289.0,1767,2056,73,4504.35,Winter,2075.6666666666665,418.6666666666667,1657.0
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321.0,1871,2192,74,4504.35,Winter,2078.6666666666665,421.56666666666666,1657.1
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424.0,2320,2744,75,4504.35,Winter,2073.133333333333,422.96666666666664,1650.1666666666667
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884.0,2355,3239,76,4504.35,Winter,2076.233333333333,425.5,1650.7333333333333
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424.0,1693,3117,77,4504.35,Winter,2095.133333333333,451.3333333333333,1643.8
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047.0,1424,2471,78,4504.35,Winter,2138.633333333333,499.23333333333335,1639.4
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401.0,1676,2077,79,4504.35,Spring,2173.233333333333,502.3666666666667,1670.8666666666666
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460.0,2243,2703,80,4504.35,Spring,2212.9,504.1333333333333,1708.7666666666667
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203.0,1918,2121,81,4504.35,Spring,2244.1,509.76666666666665,1734.3333333333333
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166.0,1699,1865,82,4504.35,Spring,2277.7,518.2666666666667,1759.4333333333334
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300.0,1910,2210,83,4504.35,Spring,2263.7,517.6333333333333,1746.0666666666666
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981.0,1515,2496,84,4504.35,Spring,2324.766666666667,545.4,1779.3666666666666
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472.0,1221,1693,85,4504.35,Spring,2355.366666666667,576.7666666666667,1778.6
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222.0,1806,2028,86,4504.35,Spring,2395.9,581.1333333333333,1814.7666666666667
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317.0,2108,2425,87,4504.35,Spring,2383.133333333333,556.9666666666667,1826.1666666666667
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168.0,1368,1536,88,4504.35,Spring,2387.0,551.9666666666667,1835.0333333333333
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179.0,1506,1685,89,4504.35,Spring,2427.366666666667,559.9666666666667,1867.4
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307.0,1920,2227,90,4504.35,Spring,2458.5,570.6666666666666,1887.8333333333333
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898.0,1354,2252,91,4504.35,Spring,2393.5333333333333,560.5666666666667,1832.9666666666667
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651.0,1598,3249,92,4504.35,Spring,2410.366666666667,583.0333333333333,1827.3333333333333
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734.0,2381,3115,93,4504.35,Spring,2420.766666666667,557.8666666666667,1862.9
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167.0,1628,1795,94,4504.35,Spring,2445.2,536.6,1908.6
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413.0,2395,2808,95,4504.35,Spring,2507.4333333333334,543.6666666666666,1963.7666666666667
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571.0,2570,3141,96,4504.35,Spring,2556.9666666666667,553.1666666666666,2003.8
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172.0,1299,1471,97,4504.35,Spring,2542.366666666667,552.3,1990.0666666666666
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879.0,1576,2455,98,4504.35,Spring,2614.733333333333,595.5,2019.2333333333333
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188.0,1707,2895,99,4504.35,Spring,2680.766666666667,642.5,2038.2666666666667
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855.0,2493,3348,100,4504.35,Spring,2733.3333333333335,635.5666666666667,2097.766666666667
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257.0,1777,2034,101,4504.35,Spring,2823.5666666666666,642.4333333333333,2181.133333333333
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209.0,1953,2162,102,4504.35,Spring,2885.0333333333333,653.2666666666667,2231.766666666667
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529.0,2738,3267,103,4504.35,Spring,2939.4666666666667,661.6666666666666,2277.8
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642.0,2484,3126,104,4504.35,Spring,3041.4333333333334,685.3333333333334,2356.1
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121.0,674,795,105,4504.35,Spring,3162.3333333333335,744.8666666666667,2417.4666666666667
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558.0,2186,3744,106,4504.35,Spring,3199.8,772.5666666666667,2427.233333333333
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669.0,2760,3429,107,4504.35,Spring,3271.4333333333334,770.8666666666667,2500.5666666666666
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409.0,2795,3204,108,4504.35,Spring,3311.5,735.9333333333333,2575.5666666666666
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613.0,3331,3944,109,4504.35,Spring,3295.4333333333334,719.9666666666667,2575.4666666666667
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745.0,3444,4189,110,4504.35,Spring,3383.366666666667,734.8666666666667,2648.5
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177.0,1506,1683,111,4504.35,Spring,3443.366666666667,750.9,2692.4666666666667
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462.0,2574,4036,112,4504.35,Spring,3495.8,785.6,2710.2
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710.0,2481,4191,113,4504.35,Spring,3591.2,826.5666666666667,2764.633333333333
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773.0,3300,4073,114,4504.35,Spring,3654.766666666667,819.4,2835.366666666667
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678.0,3722,4400,115,4504.35,Spring,3718.366666666667,802.9333333333333,2915.4333333333334
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547.0,3325,3872,116,4504.35,Spring,3746.1666666666665,792.7666666666667,2953.4
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569.0,3489,4058,117,4504.35,Spring,3840.5,807.3666666666667,3033.133333333333
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878.0,3717,4595,118,4504.35,Spring,3905.266666666667,823.4666666666667,3081.8
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965.0,3347,5312,119,4504.35,Spring,3910.0,835.9,3074.1
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138.0,2213,3351,120,4504.35,Spring,3957.5666666666666,867.2333333333333,3090.3333333333335
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847.0,3554,4401,121,4504.35,Spring,4063.0,888.9666666666667,3174.0333333333333
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603.0,3848,4451,122,4504.35,Spring,4075.633333333333,859.6333333333333,3216.0
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255.0,2378,2633,123,4504.35,Spring,4089.8333333333335,855.2,3234.633333333333
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614.0,3819,4433,124,4504.35,Spring,4135.533333333334,866.0666666666667,3269.4666666666667
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894.0,3714,4608,125,4504.35,Spring,4167.966666666666,875.9333333333333,3292.0333333333333
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612.0,3102,4714,126,4504.35,Spring,4221.833333333333,926.3666666666667,3295.4666666666667
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401.0,2932,4333,127,4504.35,Spring,4321.066666666667,973.0,3348.0666666666666
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664.0,3698,4362,128,4504.35,Spring,4329.0,952.1333333333333,3376.866666666667
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694.0,4109,4803,129,4504.35,Spring,4339.033333333334,917.1,3421.9333333333334
131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550.0,3632,4182,130,4504.35,Spring,4369.2,916.0,3453.2
132,2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695.0,4169,4864,131,4504.35,Spring,4378.433333333333,918.6666666666666,3459.766666666667
133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692.0,3413,4105,132,4504.35,Spring,4405.333333333333,929.4666666666667,3475.866666666667
134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902.0,2507,3409,133,4504.35,Spring,4428.666666666667,977.2,3451.4666666666667
135,2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582.0,2971,4553,134,4504.35,Spring,4435.1,1023.4916666666667,3408.6666666666665
136,2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773.0,3185,3958,135,4504.35,Spring,4394.633333333333,1009.625,3382.0666666666666
137,2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678.0,3445,4123,136,4504.35,Spring,4415.666666666667,994.125,3418.6
138,2011-05-18,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536.0,3319,3855,137,4504.35,Spring,4401.433333333333,982.9916666666667,3415.5
139,2011-05-19,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735.0,3840,4575,138,4504.35,Spring,4418.666666666667,987.425,3428.3
140,2011-05-20,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909.0,4008,4917,139,4504.35,Spring,4507.966666666666,1008.8583333333333,3496.1666666666665
141,2011-05-21,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258.0,3547,5805,140,4504.35,Spring,4538.266666666666,1050.6916666666666,3484.633333333333
142,2011-05-22,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576.0,3084,4660,141,4504.35,Spring,4548.2,1077.0583333333334,3468.2
143,2011-05-23,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836.0,3438,4274,142,4504.35,Spring,4542.666666666667,1045.7583333333334,3493.9666666666667
144,2011-05-24,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659.0,3833,4492,143,4504.35,Spring,4559.333333333333,1024.4916666666666,3531.9
145,2011-05-25,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740.0,4238,4978,144,4504.35,Spring,4560.633333333333,1024.8916666666667,3532.8
146,2011-05-26,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758.0,3919,4677,145,4504.35,Spring,4531.033333333334,1020.525,3507.5666666666666
147,2011-05-27,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871.0,3808,4679,146,4504.35,Spring,4544.5,1029.3583333333333,3512.2
148,2011-05-28,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001.0,2757,4758,147,4504.35,Spring,4547.9,1063.825,3481.133333333333
149,2011-05-29,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2266.75,2433,4788,148,4504.35,Spring,4559.733333333334,1089.6583333333333,3467.133333333333
150,2011-05-30,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549.0,2549,4098,149,4504.35,Spring,4613.433333333333,1088.3583333333333,3522.133333333333
151,2011-05-31,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673.0,3309,3982,150,4504.35,Spring,4624.7,1059.8583333333333,3561.9
152,2011-06-01,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513.0,3461,3974,151,4504.35,Spring,4665.433333333333,1059.725,3602.766666666667
153,2011-06-02,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736.0,4232,4968,152,4504.35,Spring,4653.566666666667,1055.2916666666667,3595.3333333333335
154,2011-06-03,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898.0,4414,5312,153,4504.35,Spring,4686.533333333334,1066.1916666666666,3617.4
155,2011-06-04,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869.0,3473,5342,154,4504.35,Spring,4704.666666666667,1101.925,3599.8
156,2011-06-05,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685.0,3221,4906,155,4504.35,Spring,4698.9,1126.2583333333334,3569.7
157,2011-06-06,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673.0,3875,4548,156,4504.35,Spring,4639.066666666667,1074.2916666666667,3561.8333333333335
158,2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763.0,4070,4833,157,4504.35,Spring,4644.9,1047.5583333333334,3594.4
159,2011-06-08,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676.0,3725,4401,158,4504.35,Spring,4652.666666666667,1041.725,3608.0
160,2011-06-09,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563.0,3352,3915,159,4504.35,Spring,4662.6,1044.625,3615.0333333333333
161,2011-06-10,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815.0,3771,4586,160,4504.35,Spring,4663.033333333334,1052.2583333333334,3607.8333333333335
162,2011-06-11,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729.0,3237,4966,161,4504.35,Spring,4680.533333333334,1086.3916666666667,3591.2
163,2011-06-12,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467.0,2993,4460,162,4504.35,Spring,4701.4,1121.3583333333333,3577.1
164,2011-06-13,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863.0,4157,5020,163,4504.35,Spring,4699.733333333334,1083.125,3613.6666666666665
